Season,League,coefficient,SeasonStartYear
2015/16,england,14.25,2015
2015/16,spain,23.928,2015
2015/16,italy,11.5,2015
2015/16,germany,16.428,2015
2015/16,france,11.083,2015
2016/17,england,14.928,2016
2016/17,spain,20.142,2016
2016/17,italy,14.25,2016
2016/17,germany,14.571,2016
2016/17,france,14.416,2016
2017/18,england,20.071,2017
2017/18,spain,19.714,2017
2017/18,italy,17.333,2017
2017/18,germany,9.857,2017
2017/18,france,11.5,2017
2018/19,england,22.642,2018
2018/19,spain,19.571,2018
2018/19,italy,12.642,2018
2018/19,germany,15.214,2018
2018/19,france,10.583,2018
2019/20,england,18.571,2019
2019/20,spain,18.928,2019
2019/20,italy,14.928,2019
2019/20,germany,18.714,2019
2019/20,france,11.666,2019
2020/21,england,24.357,2020
2020/21,spain,19.5,2020
2020/21,italy,16.285,2020
2020/21,germany,15.214,2020
2020/21,france,7.916,2020
2021/22,england,21,2021
2021/22,spain,18.428,2021
2021/22,italy,15.714,2021
2021/22,germany,16.214,2021
2021/22,france,18.416,2021
2022/23,england,23,2022
2022/23,spain,16.571,2022
2022/23,italy,22.357,2022
2022/23,germany,17.125,2022
2022/23,france,12.583,2022
2023/24,england,17.375,2023
2023/24,spain,16.062,2023
2023/24,italy,21,2023
2023/24,germany,19.357,2023
2023/24,france,16.25,2023
2024/25,england,29.464,2024
2024/25,spain,23.892,2024
2024/25,italy,21.875,2024
2024/25,germany,18.421,2024
2024/25,france,17.928,2024
2025/26,england,10.833,2025
2025/26,spain,9.25,2025
2025/26,italy,9.571,2025
2025/26,germany,9.857,2025
2025/26,france,8.214,2025
