season,england,spain,italy,germany,france
2015/16,14.250,23.928,11.500,16.428,11.083
2016/17,14.928,20.142,14.250,14.571,14.416
2017/18,20.071,19.714,17.333,9.857,11.500
2018/19,22.642,19.571,12.642,15.214,10.583
2019/20,18.571,18.928,14.928,18.714,11.666
2020/21,24.357,19.500,16.285,15.214,7.916
2021/22,21.000,18.428,15.714,16.214,18.416
2022/23,23.000,16.571,22.357,17.125,12.583
2023/24,17.375,16.062,21.000,19.357,16.250
2024/25,29.464,23.892,21.875,18.421,17.928
2025/26,12.500,10.375,11.000,11.142,9.500
