Club,Country,Elo
Bayern Munich,germany,1402.0023109505275
Paris SG,france,1373.9623159189011
Real Madrid,spain,1371.5940718835864
Barcelona,spain,1371.074011409326
Arsenal,england,1358.904719556011
Inter,italy,1334.718626485792
Ath Madrid,spain,1321.1557214939628
Napoli,italy,1320.4170870177506
Villarreal,spain,1312.4090929595538
Milan,italy,1306.0117675387432
Man City,england,1302.9014791178672
Leverkusen,germany,1298.7920841825992
Dortmund,germany,1286.0333461264056
Roma,italy,1280.0638642750341
Marseille,france,1270.9803017214058
Juventus,italy,1270.2629213266925
Lens,france,1267.8160955198898
Liverpool,england,1263.69615023032
RB Leipzig,germany,1258.845682147372
Aston Villa,england,1258.224157987361
Chelsea,england,1257.9070458555996
Lille,france,1251.5770866780285
Bologna,italy,1239.7276933416326
Betis,spain,1227.403338920152
Crystal Palace,england,1224.6675176871886
Lyon,france,1219.9906366895248
Brighton,england,1218.6256018836316
Monaco,france,1217.4821793657284
Ein Frankfurt,germany,1215.2232385346938
Atalanta,italy,1208.5033965221667
Lazio,italy,1207.4657458280644
Stuttgart,germany,1203.9862413797102
Ath Bilbao,spain,1201.4728834267773
Newcastle,england,1196.6717336207855
Como,italy,1192.5366098699592
Rennes,france,1187.1887004874527
Bournemouth,england,1184.800547747298
Everton,england,1183.2865431804041
Strasbourg,france,1181.9431024019957
Nice,france,1170.9170374788475
Freiburg,germany,1168.8340485959127
Brentford,england,1168.7008421822695
Man United,england,1162.8450619502914
Hoffenheim,germany,1162.3385049193585
Brest,france,1156.671975917727
Werder Bremen,germany,1152.1073082105972
Espanol,spain,1151.0059372711537
Vallecano,spain,1149.296927057363
Celta,spain,1143.0693413527129
Sunderland,england,1140.4347950303572
Nott'm Forest,england,1137.1204077403063
Fulham,england,1134.3704180537331
Torino,italy,1128.6228618439789
Sociedad,spain,1128.2424167926124
Toulouse,france,1126.819287505931
Tottenham,england,1126.536894811927
Fiorentina,italy,1121.404918767099
Udinese,italy,1120.6951300115747
Valencia,spain,1120.023218796151
Getafe,spain,1112.5752986554091
Union Berlin,germany,1105.504920220136
M'gladbach,germany,1104.8368810043391
Osasuna,spain,1096.727149648609
Mallorca,spain,1095.792601043259
FC Koln,germany,1095.758041656831
Cremonese,italy,1095.3429650554137
Sassuolo,italy,1091.4666040081365
Leganes,spain,1090.7835690923703
Girona,spain,1089.195001158263
West Ham,england,1087.913241091017
Alaves,spain,1086.8495499631033
Hamburg,germany,1086.6186671765315
Sevilla,spain,1085.0342681427653
Genoa,italy,1084.964038730061
Elche,spain,1084.588531710953
Mainz,germany,1082.7410446702954
Lorient,france,1081.8840354800777
Angers,france,1077.9333170784257
Le Havre,france,1072.8853816041926
Reims,france,1070.1903380180588
Wolfsburg,germany,1068.1847103294658
Lecce,italy,1066.9123264806865
Augsburg,germany,1066.2775433506165
Nantes,france,1058.0466455504238
Parma,italy,1057.4045011927851
Cagliari,italy,1056.0075307054328
Levante,spain,1049.5326577850392
Auxerre,france,1046.4683128060458
Clermont,france,1046.1380732301404
Cadiz,spain,1045.6750084050739
St Etienne,france,1043.9792717554667
Leeds,england,1043.7151788191163
Frosinone,italy,1037.258545616305
Metz,france,1034.4025463000266
Burnley,england,1026.273500651973
Pisa,italy,1025.6329946457543
Empoli,italy,1025.4144061927063
Paris FC,france,1022.7777333178914
Heidenheim,germany,1022.457659355506
Venezia,italy,1020.8832119044865
Schalke 04,germany,1017.6167355341227
Verona,italy,1014.5266914780573
Bochum,germany,1011.5024538679008
Nimes,france,1010.9271714681853
Spezia,italy,1010.5957545086115
Bordeaux,france,1009.2651728605124
Fortuna Dusseldorf,germany,1008.6209081712021
Las Palmas,spain,1008.3656028480085
Hertha,germany,1008.0377557065026
Huesca,spain,1007.8599717804149
Wolves,england,1005.884129156032
Bielefeld,germany,1004.8490993716986
Leicester,england,997.4495332722838
Amiens,france,992.0132801132387
Eibar,spain,989.1880907766483
Holstein Kiel,germany,988.6231906540196
St Pauli,germany,988.3408874009003
Oviedo,spain,987.8286307608146
Almeria,spain,987.3500575862
Montpellier,france,982.0995903323094
Benevento,italy,972.0245175371849
West Brom,england,971.4521538780127
Granada,spain,967.2997108684233
Monza,italy,965.2778514934847
Luton,england,964.247906521327
Stoke,england,963.4119032440407
Salernitana,italy,963.1121653685116
Darmstadt,germany,962.2736290850315
Cardiff,england,961.0408151110857
Carpi,italy,960.410278647283
Troyes,france,958.5243020470832
Guingamp,france,957.0135258431154
Ingolstadt,germany,955.4674095371398
Sampdoria,italy,954.512782800282
Ipswich,england,953.6542816764262
Caen,france,953.4663987540721
Swansea,england,951.2776427234663
Greuther Furth,germany,946.5841418789028
Bastia,france,946.1601002081052
Crotone,italy,945.108623912932
Ajaccio,france,942.9708843700288
Watford,england,938.6427019271428
Hull,england,935.8614250934107
Dijon,france,935.5271254701242
Ajaccio GFCO,france,934.9566799923721
Nancy,france,932.1995628927857
Sheffield United,england,930.58270494828
La Coruna,spain,927.9719948649073
Valladolid,spain,925.864588136588
Brescia,italy,924.4987844310143
Paderborn,germany,924.4019856655386
Sp Gijon,spain,923.733192385849
Norwich,england,920.7429938083401
Chievo,italy,918.5602772134597
Southampton,england,915.7957042595099
Nurnberg,germany,909.3135516911696
Middlesbrough,england,908.833689945035
Hannover,germany,908.3328033556421
Spal,italy,903.538685486626
Palermo,italy,892.8880456443561
Malaga,spain,890.2389788566737
Huddersfield,england,870.6426348587568
Pescara,italy,859.647791702666
